Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Calories_Burned_kcal,Fat_Category,BMI_Category,Weekly_Workout_Hours,Workout_Cluster
28,Male,68.9,1.72,192,151,75,0.25,Cardio,26.2,2.1,2,0,23.2,78.3,High,Normal,0.5,2
34,Female,76.2,1.73,186,147,55,0.74,Strength,30.6,3.2,4,1,25.4,237.6,Very High,Overweight,2.96,2
25,Male,61.7,1.63,193,161,65,0.93,Mixed,29.2,4.5,3,1,23.1,344.3,High,Normal,2.79,2
52,Female,87.2,1.89,165,152,80,0.89,HIIT,26.1,3.5,4,1,24.5,624.5,High,Normal,3.56,0
52,Female,52.9,1.55,167,132,69,0.52,Cardio,22.0,3.2,3,1,22.0,123.8,Average,Normal,1.56,0
50,Male,84.7,1.83,163,127,59,1.13,Cardio,15.9,3.4,7,3,25.4,438.1,Fit,Overweight,7.909999999999999,1
22,Female,82.0,1.8,205,170,64,0.62,Mixed,32.7,3.8,3,0,25.3,305.8,Very High,Overweight,1.86,2
59,Female,110.5,1.87,162,134,68,0.25,Strength,28.9,2.5,3,0,31.6,116.4,High,Obesity,0.75,0
56,Female,52.0,1.52,165,149,62,1.33,HIIT,11.0,3.9,7,3,22.5,555.0,Athletic / Very Fit,Normal,9.31,1
58,Female,59.0,1.59,167,152,68,0.77,HIIT,23.6,3.7,4,1,23.3,366.2,Average,Normal,3.08,0
45,Male,83.5,1.83,189,170,64,0.72,HIIT,22.4,3.6,4,1,25.0,484.3,Average,Overweight,2.88,2
24,Male,62.0,1.49,194,177,81,0.7,HIIT,21.3,2.9,3,0,27.9,350.3,Average,Overweight,2.1,2
26,Male,45.3,1.52,196,140,71,0.27,Yoga,27.7,3.7,3,0,19.6,20.3,High,Normal,0.81,2
25,Male,65.0,1.63,199,153,68,0.76,Cardio,18.2,3.1,3,0,24.4,224.4,Fit,Normal,2.28,2
29,Male,52.0,1.7,194,141,75,0.67,Yoga,26.5,3.5,2,0,18.0,58.0,High,Underweight,1.34,2
51,Male,77.5,1.84,174,125,66,0.44,Yoga,18.8,3.8,5,1,22.9,55.9,Fit,Normal,2.2,0
50,Male,78.1,1.66,175,140,61,0.98,Strength,13.8,3.8,7,2,28.3,318.2,Athletic / Very Fit,Overweight,6.859999999999999,1
40,Female,55.3,1.62,178,137,60,1.32,Cardio,18.8,3.6,6,3,21.1,333.4,Fit,Normal,7.92,1
41,Male,72.3,1.71,185,151,72,0.41,Strength,26.2,3.1,2,0,24.7,124.3,High,Normal,0.82,2
54,Male,65.3,1.73,165,121,67,0.43,Yoga,15.3,3.3,3,0,21.9,46.4,Fit,Normal,1.29,0
52,Male,61.1,1.72,169,140,73,0.69,Strength,16.6,3.3,3,1,20.6,176.5,Fit,Normal,2.07,0
57,Female,77.0,1.66,166,127,79,0.25,Yoga,33.4,3.2,3,0,27.9,31.9,Very High,Overweight,0.75,0
39,Male,43.7,1.48,177,149,64,0.92,Mixed,8.0,4.4,7,2,19.8,241.9,Athletic / Very Fit,Normal,6.44,1
44,Male,63.5,1.59,178,131,73,0.95,Yoga,24.4,4.0,4,1,25.2,100.0,Average,Overweight,3.8,0
52,Male,83.8,1.82,171,132,58,1.31,Cardio,8.0,3.5,5,3,25.2,503.2,Athletic / Very Fit,Overweight,6.550000000000001,1
18,Female,59.4,1.7,193,154,65,0.27,Strength,21.6,3.5,3,0,20.6,66.9,Average,Normal,0.81,2
52,Male,66.9,1.65,175,161,79,0.35,HIIT,24.1,3.1,3,0,24.6,190.0,Average,Normal,1.0499999999999998,0
54,Female,65.0,1.79,162,149,75,1.03,HIIT,29.7,3.9,3,0,20.3,541.0,High,Normal,3.09,0
31,Female,64.1,1.57,190,150,76,0.5,Cardio,36.2,2.5,2,0,26.1,145.6,Very High,Overweight,1.0,2
20,Female,51.5,1.66,205,163,64,0.9,Strength,17.6,3.9,4,2,18.7,195.3,Fit,Normal,3.6,2
18,Female,65.0,1.69,205,183,59,0.84,HIIT,16.2,3.6,7,3,22.6,440.5,Fit,Normal,5.88,1
22,Male,61.5,1.64,203,165,76,0.63,Strength,26.4,3.3,2,0,23.0,162.9,High,Normal,1.26,2
43,Female,81.3,1.69,183,167,76,0.63,HIIT,25.4,3.3,2,0,28.5,413.8,High,Overweight,1.26,2
31,Female,67.8,1.66,187,150,81,0.57,Cardio,29.2,3.1,2,0,24.6,176.1,High,Normal,1.14,2
56,Male,66.0,1.54,159,146,72,0.94,HIIT,19.4,3.6,3,1,27.8,501.3,Fit,Overweight,2.82,0
44,Female,75.6,1.7,178,163,76,0.77,HIIT,27.6,3.2,5,1,26.2,471.7,High,Overweight,3.85,0
26,Female,62.7,1.55,198,179,73,0.94,HIIT,23.7,3.4,5,2,26.2,474.8,Average,Overweight,4.699999999999999,2
32,Female,65.3,1.7,194,146,57,1.0,Cardio,20.5,3.5,6,2,22.7,296.9,Average,Normal,6.0,1
32,Female,92.8,1.82,192,140,76,0.65,Yoga,22.1,4.1,5,1,28.1,99.8,Average,Overweight,3.25,2
43,Female,61.6,1.65,175,144,73,1.12,Strength,20.5,4.6,5,1,22.6,288.1,Average,Normal,5.6000000000000005,1
59,Female,44.0,1.56,165,141,67,1.1,Mixed,24.9,4.2,7,2,18.0,292.4,Average,Underweight,7.700000000000001,1
30,Male,64.3,1.67,179,153,75,1.08,Mixed,24.4,4.5,5,1,23.1,416.7,Average,Normal,5.4,1
49,Male,65.8,1.6,177,162,74,0.58,HIIT,26.3,2.8,3,0,25.8,309.8,High,Overweight,1.7399999999999998,0
56,Male,54.5,1.74,160,135,78,0.37,Strength,25.8,3.2,2,0,18.0,84.1,High,Underweight,0.74,0
49,Male,56.7,1.67,166,152,70,0.6,HIIT,28.9,2.8,3,0,20.5,276.1,High,Normal,1.7999999999999998,0
21,Female,65.4,1.85,205,162,63,1.39,Strength,21.0,4.3,4,1,19.1,380.3,Average,Normal,5.56,1
47,Female,87.6,1.8,173,148,73,0.9,Mixed,34.6,3.8,4,1,27.1,473.0,Very High,Overweight,3.6,0
54,Female,85.1,1.66,165,151,75,0.68,HIIT,34.3,2.8,3,0,30.7,464.2,Very High,Obesity,2.04,0
40,Male,71.1,1.75,174,158,65,0.95,HIIT,18.5,3.3,4,2,23.2,547.5,Fit,Normal,3.8,1
56,Male,70.3,1.64,166,136,66,0.82,Strength,23.6,3.5,3,1,26.1,242.1,Average,Overweight,2.46,0
32,Female,73.7,1.68,192,140,77,0.34,Yoga,28.7,3.5,3,0,26.0,41.2,High,Overweight,1.02,2
46,Female,81.6,1.64,172,156,63,0.71,HIIT,16.0,3.2,5,2,30.2,469.6,Fit,Obesity,3.55,0
53,Male,66.0,1.76,156,133,65,0.92,Mixed,17.1,4.2,5,2,21.4,363.0,Fit,Normal,4.6000000000000005,1
30,Male,76.9,1.82,198,179,73,0.31,HIIT,26.4,2.6,2,0,23.1,192.0,High,Normal,0.62,2
49,Male,70.1,1.76,170,130,56,1.32,Cardio,12.8,3.1,7,3,22.6,420.5,Athletic / Very Fit,Normal,9.24,1
24,Male,76.3,1.77,194,152,74,0.46,Cardio,21.4,2.9,2,0,24.3,159.7,Average,Normal,0.92,2
39,Female,106.9,1.77,181,131,71,1.01,Yoga,20.6,4.6,6,2,34.0,176.7,Average,Obesity,6.0600000000000005,1
45,Male,72.6,1.74,171,137,58,1.14,Strength,8.0,4.0,5,3,24.1,347.2,Athletic / Very Fit,Normal,5.699999999999999,1
19,Male,50.5,1.57,205,156,64,1.03,Cardio,16.9,3.5,7,2,20.6,237.6,Fit,Normal,7.21,1
59,Female,66.3,1.85,165,149,64,0.71,HIIT,26.8,2.9,4,2,19.4,376.4,High,Normal,2.84,0
23,Female,100.4,1.86,199,178,57,1.31,HIIT,17.5,3.6,7,3,29.0,1064.7,Fit,Overweight,9.17,1
45,Female,56.4,1.66,187,155,81,0.25,Strength,25.9,2.4,2,0,20.6,59.1,High,Normal,0.5,2
45,Male,71.9,1.64,172,135,68,0.54,Cardio,26.6,2.4,3,0,26.7,175.1,High,Overweight,1.62,0
37,Male,64.5,1.74,189,159,70,1.08,Mixed,17.2,4.3,3,1,21.3,416.8,Fit,Normal,3.24,2
47,Male,57.0,1.74,162,130,56,1.54,Strength,9.7,4.4,5,3,18.9,367.7,Athletic / Very Fit,Normal,7.7,1
28,Male,72.8,1.66,195,165,73,0.67,Mixed,14.0,4.3,3,1,26.4,294.3,Athletic / Very Fit,Overweight,2.01,2
45,Female,51.9,1.55,186,167,61,1.14,HIIT,13.1,3.5,7,3,21.5,476.6,Athletic / Very Fit,Normal,7.979999999999999,1
42,Female,75.2,1.71,173,150,81,0.62,Mixed,28.5,3.8,2,0,25.7,279.7,High,Overweight,1.24,0
56,Male,78.3,1.74,172,141,69,1.09,Strength,16.2,3.7,7,2,26.0,358.0,Fit,Overweight,7.630000000000001,1
50,Male,80.4,1.75,163,127,60,0.75,Cardio,15.4,3.1,7,3,26.2,274.6,Fit,Overweight,5.25,1
18,Male,67.4,1.71,205,166,74,0.55,Strength,18.4,3.1,5,1,22.9,156.2,Fit,Normal,2.75,2
44,Female,73.1,1.65,174,124,64,1.13,Yoga,15.6,4.8,6,3,26.7,135.2,Fit,Overweight,6.779999999999999,1
30,Male,64.3,1.78,186,134,70,0.66,Yoga,23.1,3.9,3,0,20.3,70.2,Average,Normal,1.98,2
58,Female,51.2,1.69,159,135,64,1.18,Mixed,12.9,4.5,7,3,18.0,361.2,Athletic / Very Fit,Underweight,8.26,1
20,Male,71.6,1.63,200,179,61,1.05,HIIT,9.7,3.8,7,3,26.8,606.3,Athletic / Very Fit,Overweight,7.35,1
56,Female,68.1,1.66,163,133,77,0.83,Cardio,23.7,3.3,3,0,24.7,257.6,Average,Normal,2.49,0
23,Female,48.9,1.51,197,165,68,1.17,Mixed,28.5,4.6,3,1,21.6,344.2,High,Normal,3.51,2
25,Male,50.0,1.66,197,157,66,0.57,Strength,17.4,3.1,5,1,18.1,118.8,Fit,Underweight,2.85,2
44,Female,55.1,1.75,177,129,70,0.77,Yoga,27.5,4.0,3,0,18.0,70.2,High,Underweight,2.31,0
26,Female,71.1,1.71,194,146,58,0.77,Cardio,25.3,3.0,3,0,24.2,248.0,High,Normal,2.31,2
54,Male,102.7,1.83,164,122,71,0.44,Yoga,26.2,3.4,2,0,30.6,74.3,High,Obesity,0.88,0
50,Female,64.1,1.65,172,141,82,0.86,Cardio,22.5,2.9,3,1,23.4,253.0,Average,Normal,2.58,0
59,Male,67.4,1.73,163,132,74,0.71,Cardio,33.2,2.5,3,1,22.6,218.3,Very High,Normal,2.13,0
41,Female,74.0,1.76,181,127,62,1.34,Yoga,13.2,5.1,6,3,23.9,162.5,Athletic / Very Fit,Normal,8.040000000000001,1
32,Female,118.1,1.9,188,139,80,0.5,Yoga,26.9,3.4,3,0,32.7,96.8,High,Obesity,1.5,2
49,Female,77.5,1.69,168,136,64,0.89,Strength,16.6,4.3,4,2,27.0,286.5,Fit,Overweight,3.56,0
49,Female,50.3,1.58,171,142,73,0.59,Strength,34.8,3.6,3,0,20.3,125.4,Very High,Normal,1.77,0
41,Male,75.1,1.76,178,138,64,1.4,Cardio,9.6,3.3,5,2,24.1,477.7,Athletic / Very Fit,Normal,7.0,1
58,Male,88.3,1.87,152,123,56,0.97,Strength,13.5,3.7,7,3,25.3,358.7,Athletic / Very Fit,Overweight,6.79,1
29,Male,53.7,1.65,196,157,67,0.95,Strength,23.1,3.4,5,1,19.8,213.6,Average,Normal,4.75,2
56,Female,84.1,1.76,165,138,75,0.41,Strength,29.1,2.7,3,0,27.0,144.8,High,Overweight,1.23,0
19,Female,67.4,1.8,201,155,70,1.02,Cardio,28.7,3.3,4,1,20.7,312.3,High,Normal,4.08,2
20,Male,57.1,1.78,203,184,82,0.83,HIIT,28.8,3.7,2,0,18.0,379.5,High,Underweight,1.66,2
54,Male,69.6,1.69,162,149,75,0.8,HIIT,20.8,3.6,4,1,24.3,449.9,Average,Normal,3.2,0
34,Male,61.4,1.61,193,161,68,0.37,Mixed,25.3,3.7,3,0,23.7,135.2,High,Normal,1.11,2
19,Male,67.1,1.67,205,185,74,0.44,HIIT,24.1,3.2,3,0,24.0,237.7,Average,Normal,1.32,2
19,Female,62.4,1.73,195,134,59,1.09,Yoga,17.6,4.0,6,2,20.9,112.5,Fit,Normal,6.540000000000001,1
45,Male,67.4,1.77,172,119,55,1.37,Yoga,15.9,4.7,5,3,21.5,151.5,Fit,Normal,6.8500000000000005,1
40,Female,83.7,1.71,183,149,70,1.01,Strength,21.7,3.5,5,1,28.5,354.6,Average,Overweight,5.05,1
54,Male,69.5,1.64,167,145,78,0.38,Mixed,27.1,3.8,2,0,25.8,159.1,High,Overweight,0.76,0
49,Female,60.8,1.74,171,142,75,0.7,Strength,27.2,3.9,3,0,20.2,178.2,High,Normal,2.1,0
50,Male,56.1,1.77,172,139,62,1.06,Strength,8.0,3.7,6,3,18.0,249.8,Athletic / Very Fit,Underweight,6.36,1
18,Male,60.0,1.72,193,172,58,1.28,HIIT,13.5,3.7,7,3,20.3,616.1,Athletic / Very Fit,Normal,8.96,1
36,Female,62.8,1.6,179,147,70,0.56,Strength,27.7,3.1,3,0,24.6,149.1,High,Normal,1.6800000000000002,0
19,Female,59.3,1.66,198,163,58,1.25,Mixed,13.0,4.3,7,3,21.5,444.7,Athletic / Very Fit,Normal,8.75,1
43,Male,66.7,1.77,181,164,67,1.08,HIIT,11.9,3.9,6,3,21.2,582.3,Athletic / Very Fit,Normal,6.48,1
49,Female,51.4,1.54,160,139,77,1.15,Mixed,24.8,4.1,3,0,21.6,353.2,Average,Normal,3.45,0
23,Male,51.3,1.47,198,156,57,1.33,Strength,14.5,4.0,7,2,23.7,287.4,Athletic / Very Fit,Normal,9.31,1
49,Female,91.0,1.83,169,140,71,1.12,Strength,18.2,3.4,3,1,27.1,430.6,Fit,Overweight,3.3600000000000003,0
21,Male,71.9,1.73,202,184,81,0.63,HIIT,22.2,2.8,2,0,24.0,366.3,Average,Normal,1.26,2
28,Male,73.5,1.74,196,155,79,0.67,Cardio,27.2,2.8,3,0,24.2,223.9,High,Normal,2.01,2
34,Male,57.1,1.57,194,177,76,0.5,HIIT,22.1,3.1,3,1,23.1,232.2,Average,Normal,1.5,2
55,Male,67.7,1.75,159,123,55,0.99,Cardio,17.9,3.2,7,3,22.0,306.8,Fit,Normal,6.93,1
41,Male,80.4,1.71,175,137,66,1.03,Cardio,19.6,3.4,6,2,27.6,377.6,Fit,Overweight,6.18,1
22,Male,62.4,1.52,198,179,73,0.81,HIIT,23.7,3.1,3,0,27.0,407.2,Average,Overweight,2.43,2
51,Male,106.9,1.82,176,145,73,0.96,Strength,22.2,3.2,3,1,32.2,430.4,Average,Obesity,2.88,0
23,Male,76.0,1.7,199,166,66,0.88,Mixed,22.8,4.5,5,1,26.4,402.3,Average,Overweight,4.4,2
39,Female,59.2,1.64,182,147,66,0.92,Strength,32.5,3.4,4,1,22.0,228.2,Very High,Normal,3.68,0
28,Female,55.0,1.64,198,152,65,1.1,Cardio,21.3,3.6,4,2,20.4,277.0,Average,Normal,4.4,2
33,Female,60.8,1.48,185,131,65,0.54,Yoga,27.9,3.6,5,1,27.8,54.2,High,Overweight,2.7,0
50,Male,62.7,1.74,176,151,76,0.4,Mixed,28.4,4.0,3,0,20.7,150.5,High,Normal,1.2000000000000002,0
26,Male,79.3,1.71,203,161,65,0.68,Strength,32.4,3.5,2,0,27.2,225.1,Very High,Overweight,1.36,2
23,Male,57.8,1.66,196,142,76,0.54,Yoga,22.7,3.4,3,1,21.0,51.5,Average,Normal,1.62,2
33,Female,83.0,1.81,179,123,55,0.8,Yoga,13.3,3.9,7,2,25.4,109.2,Athletic / Very Fit,Overweight,5.6000000000000005,1
46,Female,47.0,1.54,175,150,75,0.97,Mixed,24.1,4.2,5,1,19.8,273.5,Average,Normal,4.85,0
20,Female,71.2,1.62,205,157,67,1.09,Cardio,24.4,3.8,5,1,27.1,354.3,Average,Overweight,5.45,2
37,Female,48.5,1.59,185,128,58,0.76,Yoga,20.2,3.7,7,2,19.1,60.9,Average,Normal,5.32,1
53,Female,68.5,1.65,160,120,71,0.74,Yoga,28.5,3.6,5,1,25.1,83.7,High,Overweight,3.7,0
36,Male,66.0,1.69,190,159,64,1.21,Mixed,8.0,4.9,6,3,23.2,481.7,Athletic / Very Fit,Normal,7.26,1
