Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned_kcal,Fat_Category,BMI_Category,Weekly_Workout_Hours
41,Female,80.4,1.65,168,142,63,1.0,Mixed,20.9,4.6,6,2,29.4,8.0,0.7523809524,6.019047619,483.9,Average,Overweight,6.0
20,Female,66.6,1.53,205,186,75,0.65,HIIT,37.7,3.0,3,0,28.4,9.5,0.8538461538,8.111538462,351.1,Very High,Overweight,1.9500000000000002
39,Female,48.4,1.64,175,143,69,0.97,Strength,27.0,3.6,4,1,18.0,6.0,0.6981132075,4.188679245,196.7,High,Underweight,3.88
19,Male,58.1,1.67,202,171,76,0.48,Mixed,25.5,4.4,2,0,20.8,8.0,0.753968254,6.031746032,168.2,High,Normal,0.96
41,Male,76.4,1.62,180,149,76,0.25,Strength,28.3,2.8,2,0,29.2,6.0,0.7019230769,4.211538462,80.4,High,Overweight,0.5
47,Female,64.4,1.75,169,136,57,1.39,Strength,9.0,3.9,7,3,21.1,6.0,0.7053571429,4.232142857,378.8,Athletic / Very Fit,Normal,9.729999999999999
55,Male,74.6,1.77,171,149,81,0.56,Mixed,24.7,4.3,3,0,23.8,8.0,0.7555555556,6.044444444,252.5,Average,Normal,1.6800000000000002
19,Male,50.3,1.67,205,184,66,0.44,HIIT,16.1,2.5,5,1,18.0,9.5,0.8489208633,8.064748201,178.5,Fit,Underweight,2.2
38,Male,83.0,1.7,178,163,77,0.84,HIIT,29.1,3.8,3,0,28.6,9.5,0.8514851485,8.089108911,564.0,High,Overweight,2.52
50,Female,38.6,1.46,174,143,73,0.25,Strength,29.8,2.5,3,0,18.0,6.0,0.6930693069,4.158415842,40.1,High,Underweight,0.75
29,Male,48.3,1.64,186,157,71,0.58,Mixed,21.2,3.9,3,0,18.0,8.0,0.747826087,5.982608696,167.6,Average,Underweight,1.7399999999999998
39,Male,89.4,1.78,188,171,74,0.27,HIIT,17.1,2.6,3,0,28.2,9.5,0.850877193,8.083333333,195.1,Fit,Overweight,0.81
42,Female,85.0,1.64,184,155,67,0.8,Mixed,25.8,3.9,5,1,31.7,8.0,0.7521367521,6.017094017,409.2,High,Obesity,4.0
44,Female,58.9,1.61,181,153,68,0.87,Mixed,14.4,4.4,4,2,22.8,8.0,0.7522123894,6.017699115,308.4,Athletic / Very Fit,Normal,3.48
59,Female,86.0,1.9,153,115,70,0.69,Yoga,24.2,4.0,5,1,23.8,3.0,0.5421686747,1.626506024,96.5,Average,Normal,3.4499999999999997
45,Female,95.8,1.86,172,129,77,0.6,Yoga,31.4,3.5,5,1,27.6,3.0,0.5473684211,1.642105263,94.4,Very High,Overweight,3.0
33,Female,75.0,1.73,184,129,60,1.0,Yoga,22.6,4.4,7,2,25.2,3.0,0.5564516129,1.669354839,125.2,Average,Overweight,7.0
32,Female,72.4,1.79,185,153,55,1.69,Mixed,11.1,5.0,6,3,22.5,8.0,0.7538461538,6.030769231,737.9,Athletic / Very Fit,Normal,10.14
20,Male,46.9,1.46,205,158,72,0.89,Cardio,20.6,3.5,3,1,22.1,7.0,0.6466165414,4.526315789,188.9,Average,Normal,2.67
54,Male,46.2,1.6,157,135,69,1.25,Mixed,14.7,4.3,7,3,18.0,8.0,0.75,6.0,346.5,Athletic / Very Fit,Underweight,8.75
24,Male,66.5,1.63,198,179,72,0.87,HIIT,20.9,2.9,5,1,24.9,9.5,0.8492063492,8.067460317,466.7,Average,Normal,4.35
38,Male,64.8,1.66,186,167,60,1.22,HIIT,18.7,3.8,6,2,23.6,9.5,0.8492063492,8.067460317,637.8,Fit,Normal,7.32
26,Female,59.2,1.63,190,172,65,0.91,HIIT,24.6,3.3,3,1,22.2,9.5,0.856,8.132,438.1,Average,Normal,2.73
56,Male,42.0,1.45,167,133,70,1.29,Cardio,12.6,3.2,7,3,20.0,7.0,0.6494845361,4.546391753,246.3,Athletic / Very Fit,Normal,9.030000000000001
35,Female,60.2,1.72,187,151,68,0.37,Strength,18.6,2.7,4,1,20.4,6.0,0.6974789916,4.18487395,93.2,Fit,Normal,1.48
21,Female,79.6,1.73,198,163,60,1.01,Mixed,19.7,4.2,5,2,26.5,8.0,0.7463768116,5.971014493,480.0,Fit,Overweight,5.05
42,Male,93.2,1.84,183,135,76,0.63,Yoga,22.1,3.6,5,1,27.5,3.0,0.5514018692,1.654205607,97.1,Average,Overweight,3.15
31,Male,58.2,1.6,186,167,59,1.35,HIIT,9.0,3.8,5,3,22.7,9.5,0.8503937008,8.078740157,634.7,Athletic / Very Fit,Normal,6.75
26,Female,56.5,1.59,199,178,55,1.16,HIIT,18.3,3.7,7,3,22.3,9.5,0.8541666667,8.114583333,531.8,Fit,Normal,8.12
43,Female,43.3,1.45,178,150,85,0.81,Strength,26.3,3.3,3,0,20.6,6.0,0.6989247312,4.193548387,147.1,High,Normal,2.43
19,Female,75.6,1.65,199,161,73,0.57,Strength,26.6,3.4,5,1,27.7,6.0,0.6984126984,4.19047619,180.6,High,Overweight,2.8499999999999996
37,Female,75.6,1.77,182,148,67,0.83,Strength,28.7,3.7,3,0,24.1,6.0,0.7043478261,4.226086957,265.2,High,Normal,2.4899999999999998
45,Male,66.8,1.62,168,147,82,0.8,Mixed,20.3,4.2,3,0,25.5,8.0,0.7558139535,6.046511628,323.1,Average,Overweight,2.4000000000000004
24,Female,91.3,1.89,194,173,55,1.35,HIIT,19.2,3.6,7,3,25.4,9.5,0.8489208633,8.064748201,994.0,Fit,Overweight,9.450000000000001
25,Male,62.3,1.65,189,146,64,0.87,Cardio,17.9,3.2,4,1,22.8,7.0,0.656,4.592,248.9,Fit,Normal,3.48
52,Female,55.5,1.69,169,133,66,1.01,Cardio,24.3,3.1,3,1,19.3,7.0,0.6504854369,4.553398058,255.2,Average,Normal,3.0300000000000002
31,Female,47.7,1.54,194,158,75,1.06,Strength,25.0,3.8,7,2,20.0,6.0,0.6974789916,4.18487395,211.6,High,Normal,7.42
34,Female,83.2,1.71,188,150,80,0.95,Cardio,23.8,3.1,4,1,28.5,7.0,0.6481481481,4.537037037,358.6,Average,Overweight,3.8
53,Male,46.3,1.48,163,141,72,0.67,Mixed,24.0,4.5,2,0,21.1,8.0,0.7582417582,6.065934066,188.2,Average,Normal,1.34
57,Female,68.4,1.75,162,134,84,0.54,Cardio,25.8,2.3,2,0,22.4,7.0,0.641025641,4.487179487,165.7,High,Normal,1.08
21,Male,59.8,1.75,200,158,59,1.14,Strength,13.9,3.9,3,1,19.5,6.0,0.7021276596,4.212765957,287.2,Athletic / Very Fit,Normal,3.42
19,Male,63.1,1.82,203,160,80,0.69,Cardio,20.7,2.8,2,0,19.1,7.0,0.6504065041,4.552845528,198.2,Average,Normal,1.38
23,Male,52.1,1.58,205,187,82,0.55,HIIT,25.0,3.1,2,0,20.9,9.5,0.8536585366,8.109756098,232.4,High,Normal,1.1
59,Female,88.5,1.7,164,144,83,0.83,Mixed,25.8,4.4,3,0,30.8,8.0,0.7530864198,6.024691358,442.5,High,Obesity,2.4899999999999998
21,Male,80.3,1.74,200,165,60,1.52,Mixed,16.3,4.0,7,3,26.6,8.0,0.75,6.0,732.3,Fit,Overweight,10.64
46,Male,65.1,1.72,175,150,78,0.25,Mixed,22.8,3.6,3,0,21.9,8.0,0.7422680412,5.93814433,96.6,Average,Normal,0.75
35,Female,71.9,1.59,183,165,61,1.06,HIIT,16.7,4.0,5,2,28.3,9.5,0.8524590164,8.098360656,617.2,Fit,Overweight,5.300000000000001
43,Female,49.2,1.45,177,161,70,0.7,HIIT,26.8,2.8,4,1,23.4,9.5,0.8504672897,8.079439252,278.3,High,Normal,2.8
51,Male,86.5,1.71,173,158,74,1.08,HIIT,25.4,3.4,2,0,29.4,9.5,0.8484848485,8.060606061,753.0,High,Overweight,2.16
27,Male,91.0,1.66,189,135,69,1.14,Yoga,19.5,4.3,5,1,32.8,3.0,0.55,1.65,171.2,Fit,Obesity,5.699999999999999
53,Female,74.1,1.62,169,146,76,0.56,Mixed,15.6,3.4,5,1,28.1,8.0,0.752688172,6.021505376,249.9,Fit,Overweight,2.8000000000000003
31,Male,75.2,1.76,188,152,66,1.04,Strength,15.0,3.6,5,2,24.4,6.0,0.7049180328,4.229508197,330.8,Fit,Normal,5.2
48,Male,75.2,1.68,181,141,68,1.05,Cardio,15.8,3.4,5,3,26.8,7.0,0.6460176991,4.522123894,357.1,Fit,Overweight,5.25
32,Male,57.7,1.55,189,139,76,0.25,Yoga,21.7,3.1,3,0,24.1,3.0,0.5575221239,1.672566372,24.1,Average,Normal,0.75
25,Female,39.8,1.49,197,154,76,0.71,Cardio,21.8,3.6,4,2,18.0,7.0,0.6446280992,4.512396694,127.5,Average,Underweight,2.84
31,Male,52.5,1.57,185,148,81,0.6,Cardio,28.8,2.2,3,0,21.4,7.0,0.6442307692,4.509615385,142.1,High,Normal,1.7999999999999998
40,Female,72.9,1.9,187,170,75,0.44,HIIT,22.1,2.6,2,0,20.2,9.5,0.8482142857,8.058035714,258.5,Average,Normal,0.88
57,Female,65.4,1.75,166,125,76,0.66,Yoga,27.3,4.2,3,0,21.3,3.0,0.5444444444,1.633333333,70.5,High,Normal,1.98
38,Female,90.0,1.7,189,150,61,0.93,Strength,18.1,4.1,4,2,31.2,6.0,0.6953125,4.171875,349.2,Fit,Obesity,3.72
33,Male,78.7,1.66,186,147,76,0.64,Cardio,22.3,2.9,3,0,28.5,7.0,0.6454545455,4.518181818,227.6,Average,Overweight,1.92
35,Female,70.6,1.66,185,143,65,0.92,Cardio,22.7,2.4,3,1,25.8,7.0,0.65,4.55,295.5,Average,Overweight,2.7600000000000002
41,Male,88.0,1.8,172,127,72,1.0,Yoga,22.7,4.3,5,2,27.2,3.0,0.55,1.65,145.2,Average,Overweight,5.0
43,Female,47.9,1.63,186,149,63,1.25,Strength,15.3,4.8,6,2,18.0,6.0,0.6991869919,4.195121951,251.2,Fit,Underweight,7.5
42,Male,81.3,1.74,180,144,62,1.42,Strength,10.5,4.7,7,3,26.9,6.0,0.6949152542,4.169491525,481.4,Athletic / Very Fit,Overweight,9.94
58,Male,75.1,1.65,171,139,64,0.52,Strength,29.1,3.2,3,0,27.8,6.0,0.7009345794,4.205607477,164.2,High,Overweight,1.56
46,Male,63.2,1.87,172,136,69,1.27,Cardio,18.2,3.7,3,1,18.0,7.0,0.6504854369,4.553398058,365.5,Fit,Underweight,3.81
32,Female,83.3,1.75,190,171,58,1.09,HIIT,16.8,3.4,6,3,27.1,9.5,0.8560606061,8.132575758,738.4,Fit,Overweight,6.540000000000001
18,Male,59.6,1.8,205,149,80,0.43,Yoga,25.3,3.5,2,0,18.3,3.0,0.552,1.656,42.4,High,Underweight,0.86
42,Male,47.3,1.62,180,146,68,1.22,Strength,25.8,4.2,5,2,18.0,6.0,0.6964285714,4.178571429,241.1,High,Underweight,6.1
24,Female,93.5,1.79,194,177,80,0.41,HIIT,34.9,2.4,3,0,29.3,9.5,0.850877193,8.083333333,309.9,Very High,Overweight,1.23
26,Female,54.3,1.65,192,154,67,1.03,Strength,23.0,4.1,5,2,20.0,6.0,0.696,4.176,233.6,Average,Normal,5.15
41,Male,60.4,1.69,177,140,71,0.99,Cardio,17.4,3.3,5,2,21.1,7.0,0.6509433962,4.556603774,272.5,Fit,Normal,4.95
18,Female,95.0,1.84,205,162,62,1.31,Strength,15.2,4.0,5,3,28.0,6.0,0.6993006993,4.195804196,522.2,Fit,Overweight,6.550000000000001
25,Female,56.6,1.58,192,147,63,0.78,Cardio,17.5,2.5,5,1,22.8,7.0,0.6511627907,4.558139535,201.2,Fit,Normal,3.9000000000000004
41,Female,67.3,1.7,169,122,65,1.07,Yoga,24.3,4.2,6,2,23.3,3.0,0.5480769231,1.644230769,118.4,Average,Normal,6.42
28,Male,68.9,1.72,192,151,75,0.25,Cardio,26.2,2.1,2,0,23.2,7.0,0.6495726496,4.547008547,78.3,High,Normal,0.5
34,Female,76.2,1.73,186,147,55,0.74,Strength,30.6,3.2,4,1,25.4,6.0,0.7022900763,4.213740458,237.6,Very High,Overweight,2.96
25,Male,61.7,1.63,193,161,65,0.93,Mixed,29.2,4.5,3,1,23.1,8.0,0.75,6.0,344.3,High,Normal,2.79
52,Female,87.2,1.89,165,152,80,0.89,HIIT,26.1,3.5,4,1,24.5,9.5,0.8470588235,8.047058824,624.5,High,Normal,3.56
52,Female,52.9,1.55,167,132,69,0.52,Cardio,22.0,3.2,3,1,22.0,7.0,0.6428571429,4.5,123.8,Average,Normal,1.56
50,Male,84.7,1.83,163,127,59,1.13,Cardio,15.9,3.4,7,3,25.4,7.0,0.6538461538,4.576923077,438.1,Fit,Overweight,7.909999999999999
22,Female,82.0,1.8,205,170,64,0.62,Mixed,32.7,3.8,3,0,25.3,8.0,0.7517730496,6.014184397,305.8,Very High,Overweight,1.8599999999999999
59,Female,110.5,1.87,162,134,68,0.25,Strength,28.9,2.5,3,0,31.6,6.0,0.7021276596,4.212765957,116.4,High,Obesity,0.75
56,Female,52.0,1.52,165,149,62,1.33,HIIT,11.0,3.9,7,3,22.5,9.5,0.8446601942,8.024271845,555.0,Athletic / Very Fit,Normal,9.31
58,Female,59.0,1.59,167,152,68,0.77,HIIT,23.6,3.7,4,1,23.3,9.5,0.8484848485,8.060606061,366.2,Average,Normal,3.08
45,Male,83.5,1.83,189,170,64,0.72,HIIT,22.4,3.6,4,1,25.0,9.5,0.848,8.056,484.3,Average,Overweight,2.88
24,Male,62.0,1.49,194,177,81,0.7,HIIT,21.3,2.9,3,0,27.9,9.5,0.8495575221,8.07079646,350.3,Average,Overweight,2.0999999999999996
26,Male,45.3,1.52,196,140,71,0.27,Yoga,27.7,3.7,3,0,19.6,3.0,0.552,1.656,20.3,High,Normal,0.81
25,Male,65.0,1.63,199,153,68,0.76,Cardio,18.2,3.1,3,0,24.4,7.0,0.6488549618,4.541984733,224.4,Fit,Normal,2.2800000000000002
29,Male,52.0,1.7,194,141,75,0.67,Yoga,26.5,3.5,2,0,18.0,3.0,0.5546218487,1.663865546,58.0,High,Underweight,1.34
51,Male,77.5,1.84,174,125,66,0.44,Yoga,18.8,3.8,5,1,22.9,3.0,0.5462962963,1.638888889,55.9,Fit,Normal,2.2
50,Male,78.1,1.66,175,140,61,0.98,Strength,13.8,3.8,7,2,28.3,6.0,0.6929824561,4.157894737,318.2,Athletic / Very Fit,Overweight,6.859999999999999
40,Female,55.3,1.62,178,137,60,1.32,Cardio,18.8,3.6,6,3,21.1,7.0,0.6525423729,4.56779661,333.4,Fit,Normal,7.92
41,Male,72.3,1.71,185,151,72,0.41,Strength,26.2,3.1,2,0,24.7,6.0,0.6991150442,4.194690265,124.3,High,Normal,0.82
54,Male,65.3,1.73,165,121,67,0.43,Yoga,15.3,3.3,3,0,21.9,3.0,0.5510204082,1.653061224,46.4,Fit,Normal,1.29
52,Male,61.1,1.72,169,140,73,0.69,Strength,16.6,3.3,3,1,20.6,6.0,0.6979166667,4.1875,176.5,Fit,Normal,2.07
57,Female,77.0,1.66,166,127,79,0.25,Yoga,33.4,3.2,3,0,27.9,3.0,0.5517241379,1.655172414,31.9,Very High,Overweight,0.75
39,Male,43.7,1.48,177,149,64,0.92,Mixed,8.0,4.4,7,2,19.8,8.0,0.7522123894,6.017699115,241.9,Athletic / Very Fit,Normal,6.44
44,Male,63.5,1.59,178,131,73,0.95,Yoga,24.4,4.0,4,1,25.2,3.0,0.5523809524,1.657142857,100.0,Average,Overweight,3.8
52,Male,83.8,1.82,171,132,58,1.31,Cardio,8.0,3.5,5,3,25.2,7.0,0.6548672566,4.584070796,503.2,Athletic / Very Fit,Overweight,6.550000000000001
18,Female,59.4,1.7,193,154,65,0.27,Strength,21.6,3.5,3,0,20.6,6.0,0.6953125,4.171875,66.9,Average,Normal,0.81
52,Male,66.9,1.65,175,161,79,0.35,HIIT,24.1,3.1,3,0,24.6,9.5,0.8541666667,8.114583333,190.0,Average,Normal,1.0499999999999998
54,Female,65.0,1.79,162,149,75,1.03,HIIT,29.7,3.9,3,0,20.3,9.5,0.8505747126,8.08045977,541.0,High,Normal,3.09
31,Female,64.1,1.57,190,150,76,0.5,Cardio,36.2,2.5,2,0,26.1,7.0,0.649122807,4.543859649,145.6,Very High,Overweight,1.0
20,Female,51.5,1.66,205,163,64,0.9,Strength,17.6,3.9,4,2,18.7,6.0,0.7021276596,4.212765957,195.3,Fit,Normal,3.6
18,Female,65.0,1.69,205,183,59,0.84,HIIT,16.2,3.6,7,3,22.6,9.5,0.8493150685,8.068493151,440.5,Fit,Normal,5.88
22,Male,61.5,1.64,203,165,76,0.63,Strength,26.4,3.3,2,0,23.0,6.0,0.7007874016,4.204724409,162.9,High,Normal,1.26
43,Female,81.3,1.69,183,167,76,0.63,HIIT,25.4,3.3,2,0,28.5,9.5,0.8504672897,8.079439252,413.8,High,Overweight,1.26
31,Female,67.8,1.66,187,150,81,0.57,Cardio,29.2,3.1,2,0,24.6,7.0,0.6509433962,4.556603774,176.1,High,Normal,1.14
56,Male,66.0,1.54,159,146,72,0.94,HIIT,19.4,3.6,3,1,27.8,9.5,0.8505747126,8.08045977,501.3,Fit,Overweight,2.82
44,Female,75.6,1.7,178,163,76,0.77,HIIT,27.6,3.2,5,1,26.2,9.5,0.8529411765,8.102941176,471.7,High,Overweight,3.85
26,Female,62.7,1.55,198,179,73,0.94,HIIT,23.7,3.4,5,2,26.2,9.5,0.848,8.056,474.8,Average,Overweight,4.699999999999999
32,Female,65.3,1.7,194,146,57,1.0,Cardio,20.5,3.5,6,2,22.7,7.0,0.6496350365,4.547445255,296.9,Average,Normal,6.0
32,Female,92.8,1.82,192,140,76,0.65,Yoga,22.1,4.1,5,1,28.1,3.0,0.5517241379,1.655172414,99.8,Average,Overweight,3.25
43,Female,61.6,1.65,175,144,73,1.12,Strength,20.5,4.6,5,1,22.6,6.0,0.6960784314,4.176470588,288.1,Average,Normal,5.6000000000000005
59,Female,44.0,1.56,165,141,67,1.1,Mixed,24.9,4.2,7,2,18.0,8.0,0.7551020408,6.040816327,292.4,Average,Underweight,7.700000000000001
30,Male,64.3,1.67,179,153,75,1.08,Mixed,24.4,4.5,5,1,23.1,8.0,0.75,6.0,416.7,Average,Normal,5.4
49,Male,65.8,1.6,177,162,74,0.58,HIIT,26.3,2.8,3,0,25.8,9.5,0.854368932,8.116504854,309.8,High,Overweight,1.7399999999999998
56,Male,54.5,1.74,160,135,78,0.37,Strength,25.8,3.2,2,0,18.0,6.0,0.6951219512,4.170731707,84.1,High,Underweight,0.74
49,Male,56.7,1.67,166,152,70,0.6,HIIT,28.9,2.8,3,0,20.5,9.5,0.8541666667,8.114583333,276.1,High,Normal,1.7999999999999998
21,Female,65.4,1.85,205,162,63,1.39,Strength,21.0,4.3,4,1,19.1,6.0,0.6971830986,4.183098592,380.3,Average,Normal,5.56
47,Female,87.6,1.8,173,148,73,0.9,Mixed,34.6,3.8,4,1,27.1,8.0,0.75,6.0,473.0,Very High,Overweight,3.6
54,Female,85.1,1.66,165,151,75,0.68,HIIT,34.3,2.8,3,0,30.7,9.5,0.8444444444,8.022222222,464.2,Very High,Obesity,2.04
40,Male,71.1,1.75,174,158,65,0.95,HIIT,18.5,3.3,4,2,23.2,9.5,0.8532110092,8.105504587,547.5,Fit,Normal,3.8
56,Male,70.3,1.64,166,136,66,0.82,Strength,23.6,3.5,3,1,26.1,6.0,0.7,4.2,242.1,Average,Overweight,2.46
32,Female,73.7,1.68,192,140,77,0.34,Yoga,28.7,3.5,3,0,26.0,3.0,0.547826087,1.643478261,41.2,High,Overweight,1.02
46,Female,81.6,1.64,172,156,63,0.71,HIIT,16.0,3.2,5,2,30.2,9.5,0.8532110092,8.105504587,469.6,Fit,Obesity,3.55
53,Male,66.0,1.76,156,133,65,0.92,Mixed,17.1,4.2,5,2,21.4,8.0,0.7472527473,5.978021978,363.0,Fit,Normal,4.6000000000000005
30,Male,76.9,1.82,198,179,73,0.31,HIIT,26.4,2.6,2,0,23.1,9.5,0.848,8.056,192.0,High,Normal,0.62
49,Male,70.1,1.76,170,130,56,1.32,Cardio,12.8,3.1,7,3,22.6,7.0,0.649122807,4.543859649,420.5,Athletic / Very Fit,Normal,9.24
24,Male,76.3,1.77,194,152,74,0.46,Cardio,21.4,2.9,2,0,24.3,7.0,0.65,4.55,159.7,Average,Normal,0.92
39,Female,106.9,1.77,181,131,71,1.01,Yoga,20.6,4.6,6,2,34.0,3.0,0.5454545455,1.636363636,176.7,Average,Obesity,6.0600000000000005
45,Male,72.6,1.74,171,137,58,1.14,Strength,8.0,4.0,5,3,24.1,6.0,0.6991150442,4.194690265,347.2,Athletic / Very Fit,Normal,5.699999999999999
19,Male,50.5,1.57,205,156,64,1.03,Cardio,16.9,3.5,7,2,20.6,7.0,0.6524822695,4.567375887,237.6,Fit,Normal,7.21
59,Female,66.3,1.85,165,149,64,0.71,HIIT,26.8,2.9,4,2,19.4,9.5,0.8415841584,7.995049505,376.4,High,Normal,2.84
23,Female,100.4,1.86,199,178,57,1.31,HIIT,17.5,3.6,7,3,29.0,9.5,0.8521126761,8.095070423,1064.7,Fit,Overweight,9.17
45,Female,56.4,1.66,187,155,81,0.25,Strength,25.9,2.4,2,0,20.6,6.0,0.6981132075,4.188679245,59.1,High,Normal,0.5
45,Male,71.9,1.64,172,135,68,0.54,Cardio,26.6,2.4,3,0,26.7,7.0,0.6442307692,4.509615385,175.1,High,Overweight,1.62
37,Male,64.5,1.74,189,159,70,1.08,Mixed,17.2,4.3,3,1,21.3,8.0,0.7478991597,5.983193277,416.8,Fit,Normal,3.24
47,Male,57.0,1.74,162,130,56,1.54,Strength,9.7,4.4,5,3,18.9,6.0,0.6981132075,4.188679245,367.7,Athletic / Very Fit,Normal,7.7
28,Male,72.8,1.66,195,165,73,0.67,Mixed,14.0,4.3,3,1,26.4,8.0,0.7540983607,6.032786885,294.3,Athletic / Very Fit,Overweight,2.0100000000000002
45,Female,51.9,1.55,186,167,61,1.14,HIIT,13.1,3.5,7,3,21.5,9.5,0.848,8.056,476.6,Athletic / Very Fit,Normal,7.9799999999999995
42,Female,75.2,1.71,173,150,81,0.62,Mixed,28.5,3.8,2,0,25.7,8.0,0.75,6.0,279.7,High,Overweight,1.24
56,Male,78.3,1.74,172,141,69,1.09,Strength,16.2,3.7,7,2,26.0,6.0,0.6990291262,4.194174757,358.0,Fit,Overweight,7.630000000000001
50,Male,80.4,1.75,163,127,60,0.75,Cardio,15.4,3.1,7,3,26.2,7.0,0.6504854369,4.553398058,274.6,Fit,Overweight,5.25
18,Male,67.4,1.71,205,166,74,0.55,Strength,18.4,3.1,5,1,22.9,6.0,0.7022900763,4.213740458,156.2,Fit,Normal,2.75
44,Female,73.1,1.65,174,124,64,1.13,Yoga,15.6,4.8,6,3,26.7,3.0,0.5454545455,1.636363636,135.2,Fit,Overweight,6.779999999999999
30,Male,64.3,1.78,186,134,70,0.66,Yoga,23.1,3.9,3,0,20.3,3.0,0.5517241379,1.655172414,70.2,Average,Normal,1.98
58,Female,51.2,1.69,159,135,64,1.18,Mixed,12.9,4.5,7,3,18.0,8.0,0.7473684211,5.978947368,361.2,Athletic / Very Fit,Underweight,8.26
20,Male,71.6,1.63,200,179,61,1.05,HIIT,9.7,3.8,7,3,26.8,9.5,0.8489208633,8.064748201,606.3,Athletic / Very Fit,Overweight,7.3500000000000005
56,Female,68.1,1.66,163,133,77,0.83,Cardio,23.7,3.3,3,0,24.7,7.0,0.6511627907,4.558139535,257.6,Average,Normal,2.4899999999999998
23,Female,48.9,1.51,197,165,68,1.17,Mixed,28.5,4.6,3,1,21.6,8.0,0.7519379845,6.015503876,344.2,High,Normal,3.51
25,Male,50.0,1.66,197,157,66,0.57,Strength,17.4,3.1,5,1,18.1,6.0,0.6946564885,4.167938931,118.8,Fit,Underweight,2.8499999999999996
44,Female,55.1,1.75,177,129,70,0.77,Yoga,27.5,4.0,3,0,18.0,3.0,0.5514018692,1.654205607,70.2,High,Underweight,2.31
26,Female,71.1,1.71,194,146,58,0.77,Cardio,25.3,3.0,3,0,24.2,7.0,0.6470588235,4.529411765,248.0,High,Normal,2.31
54,Male,102.7,1.83,164,122,71,0.44,Yoga,26.2,3.4,2,0,30.6,3.0,0.5483870968,1.64516129,74.3,High,Obesity,0.88
50,Female,64.1,1.65,172,141,82,0.86,Cardio,22.5,2.9,3,1,23.4,7.0,0.6555555556,4.588888889,253.0,Average,Normal,2.58
59,Male,67.4,1.73,163,132,74,0.71,Cardio,33.2,2.5,3,1,22.6,7.0,0.6516853933,4.561797753,218.3,Very High,Normal,2.13
41,Female,74.0,1.76,181,127,62,1.34,Yoga,13.2,5.1,6,3,23.9,3.0,0.5462184874,1.638655462,162.5,Athletic / Very Fit,Normal,8.040000000000001
32,Female,118.1,1.9,188,139,80,0.5,Yoga,26.9,3.4,3,0,32.7,3.0,0.5462962963,1.638888889,96.8,High,Obesity,1.5
49,Female,77.5,1.69,168,136,64,0.89,Strength,16.6,4.3,4,2,27.0,6.0,0.6923076923,4.153846154,286.5,Fit,Overweight,3.56
49,Female,50.3,1.58,171,142,73,0.59,Strength,34.8,3.6,3,0,20.3,6.0,0.7040816327,4.224489796,125.4,Very High,Normal,1.77
